species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
1,1,36.7,19.3,193,3450,2
1,1,39.3,20.6,190,3650,1
1,1,41.1,17.6,182,3200,2
1,1,38.6,21.2,191,3800,1
1,1,36.6,17.8,185,3700,2
1,1,38.7,19,195,3450,2
1,1,42.5,20.7,197,4500,1
1,1,34.4,18.4,184,3325,2
1,2,37.8,18.3,174,3400,2
1,2,38.8,17.2,180,3800,1
1,2,40.5,17.9,187,3200,2
1,2,37.9,18.6,172,3150,2
1,3,39.5,16.7,178,3250,2
1,3,40.9,18.9,184,3900,1
1,3,36.4,17,195,3325,2
1,3,37.6,19.3,181,3300,2
1,3,39.8,19.1,184,4650,1
1,3,36.5,18,182,3150,2
1,3,36,18.5,186,3100,2
1,3,41.1,19,182,3425,1
1,2,40.1,18.9,188,4300,1
1,2,35,17.9,190,3450,2
1,2,34.5,18.1,187,2900,2
1,2,41.4,18.6,191,3700,1
1,2,41.1,19.1,188,4100,1
1,1,37.2,19.4,184,3900,1
1,1,36.2,16.1,187,3550,2
1,1,34.6,17.2,189,3200,2
1,1,42.9,17.6,196,4700,1
1,1,36.7,18.8,187,3800,2
1,3,41.3,20.3,194,3550,1
1,3,38.3,19.2,189,3950,1
1,3,38.9,18.8,190,3600,2
1,3,39.6,18.1,186,4450,1
1,2,38.6,17.2,199,3750,2
1,2,38.1,17,181,3175,2
1,2,43.2,19,197,4775,1
1,2,45.6,20.3,191,4600,1
1,2,39.6,20.7,191,3900,2
1,2,42.7,18.3,196,4075,1
1,1,38.6,17,188,2900,2
1,1,40.2,17,176,3450,2
1,1,40.6,19,199,4000,1
1,1,41.5,18.3,195,4300,1
1,1,39,17.1,191,3050,2
1,3,36.8,18.5,193,3500,2
1,3,37.5,18.5,199,4475,1
1,3,38.1,17.6,187,3425,2
1,3,41.1,17.5,190,3900,1
1,3,35.6,17.5,191,3175,2
1,3,37,16.5,185,3400,2
1,3,39.7,17.9,193,4250,1
1,3,40.2,17.1,193,3400,2
1,3,40.7,17,190,3725,1
1,3,39,18.7,185,3650,1
1,3,36.6,18.4,184,3475,2
1,3,37.8,18.1,193,3750,1
1,2,35.9,19.2,2,3800,2
1,3,40.8,18.4,2,3900,1
1,1,41.4,18.5,3,3875,1
1,2,38.2,20,2,3900,1
1,1,38.5,17.9,2,3325,2
1,3,37.2,18.1,3,3900,1
1,3,36,17.8,2,3450,2
1,1,37.7,19.8,3,3500,1
1,2,37.9,18.6,2,2925,2
1,2,35,17.9,2,3725,2
1,2,35.3,18.9,3,3800,2
1,3,40.6,17.2,2,3475,1
1,3,37.3,17.8,3,3350,2
1,1,39.6,17.2,2,3550,2
1,3,39.2,18.6,3,4250,1
1,1,43.1,19.2,3,3500,1
1,2,39.7,18.9,3,3550,1
1,3,39.5,17.8,3,3300,2
1,2,40.6,18.6,2,3550,1
1,1,35.2,15.9,2,3050,2
1,1,38.9,17.8,2,3625,2
1,2,39,17.5,2,3550,2
1,2,37.7,18.7,2,3600,1
1,2,38.2,18.1,3,3950,1
1,2,37.7,16,3,3075,2
1,1,41.1,18.6,3,3325,1
1,1,39.5,17.4,2,3800,2
1,1,35.1,19.4,3,4200,1
1,3,41.1,18.1,2,4300,1
1,1,36.2,17.2,2,3150,2
1,1,35.5,17.5,3,3700,2
2,3,46.5,17.9,192,3500,2
2,3,51.3,19.2,193,3650,1
2,3,45.4,18.7,188,3525,2
2,3,45.2,17.8,198,3950,2
2,3,51.3,19.9,198,3700,1
2,3,51.7,20.3,194,3775,1
2,3,47,17.3,185,3700,2
2,3,50.6,19.4,193,3800,1
2,3,52,19,197,4150,1
2,3,50.5,18.4,200,3400,2
2,3,49.5,19,200,3800,1
2,3,54.2,20.8,201,4300,1
2,3,47.5,16.8,199,3900,2
2,3,46.9,16.6,192,2700,2
2,3,53.5,19.9,205,4500,1
2,3,50.9,17.9,196,3675,2
2,3,50.8,18.5,201,4450,1
2,3,51.5,18.7,187,3250,1
2,3,48.1,16.4,199,3325,2
2,3,51.4,19,201,3950,1
2,3,45.7,17.3,193,3600,2
2,3,45.2,16.6,191,3250,2
2,3,50.2,18.8,202,3800,1
2,3,45.6,19.4,194,3525,2
2,3,51.9,19.5,206,3950,1
2,3,46.8,16.5,189,3650,2
2,3,55.8,19.8,207,4000,1
2,3,49.6,18.2,193,3775,1
2,3,46.4,18.6,3,3450,2
2,3,46.2,17.5,1,3650,2
2,3,58,17.8,1,3700,2
2,3,46.6,17.8,1,3800,2
2,3,47.6,18.3,1,3850,2
2,3,52.2,18.8,3,3450,1
2,3,40.9,16.6,1,3200,2
2,3,50.9,19.1,3,3550,1
2,3,42.4,17.3,1,3600,2
2,3,50.2,18.7,3,3775,2
2,3,45.7,17,1,3650,2
3,2,45.4,14.6,211,4800,2
3,2,46.8,15.4,215,5150,1
3,2,46.2,14.5,209,4800,2
3,2,45.1,14.5,215,5000,2
3,2,42.9,13.1,215,5000,2
3,2,47.8,15,215,5650,1
3,2,50,15.3,220,5550,1
3,2,49.1,14.8,220,5150,2
3,2,49.6,15,216,4750,1
3,2,50.5,15.9,222,5550,1
3,2,50.5,15.9,225,5400,1
3,2,44.9,13.3,213,5100,2
3,2,46.6,14.2,210,4850,2
3,2,48.5,14.1,220,5300,1
3,2,45.5,15,220,5000,1
3,2,50.4,15.3,224,5550,1
3,2,46.2,14.9,221,5300,1
3,2,54.3,15.7,231,5650,1
3,2,46.4,15.6,221,5000,1
3,2,48.2,15.6,221,5100,1
3,2,46.5,14.8,217,5200,2
3,2,49.1,14.5,212,4625,2
3,2,52.5,15.6,221,5450,1
3,2,47.4,14.6,212,4725,2
3,2,50,15.9,224,5350,1
3,2,44.9,13.8,212,4750,2
3,2,51.3,14.2,218,5300,1
3,2,47.5,14,212,4875,2
3,2,52.1,17,230,5550,1
3,2,47.5,15,218,4950,2
3,2,45.5,14.5,212,4750,2
3,2,49.5,16.1,224,5650,1
3,2,44.5,14.7,214,4850,2
3,2,50.8,15.7,226,5200,1
3,2,46.9,14.6,222,4875,2
3,2,48.4,14.4,203,4625,2
3,2,55.9,17,228,5600,1
3,2,47.2,15.5,215,4975,2
3,2,46.8,16.1,215,5500,1
3,2,41.7,14.7,210,4700,2
3,2,51.5,16.3,230,5500,1
3,2,47.2,13.7,214,4925,2
3,2,50.4,15.7,222,5750,1
3,2,51.1,16.5,2,5250,1
3,2,40.9,13.7,3,4650,2
3,2,47.3,15.3,2,5250,1
3,2,46.7,15.3,2,5200,1
3,2,45.2,13.8,3,4750,2
3,2,43.6,13.9,3,4900,2
3,2,49.6,16,3,5700,1
3,2,45.2,15.8,2,5300,1
3,2,48.1,15.1,2,5500,1
3,2,49.1,15,3,5500,1
3,2,46.1,15.1,3,5100,1
3,2,47.6,14.5,3,5400,1
3,2,49.9,16.1,2,5400,1
3,2,50.8,17.3,3,5600,1
3,2,42.6,13.7,3,4950,2
3,2,50,15.2,2,5700,1
3,2,48.7,15.1,2,5350,1
3,2,42.8,14.2,3,4700,2
3,2,52.2,17.1,2,5400,1
3,2,45,15.4,2,5050,1
3,2,46.4,15,3,4700,2
3,2,46.3,15.8,2,5050,1
3,2,48.5,15,3,4850,2
3,2,43.5,15.2,2,4650,2
