species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
1,1,40.3,18,195,3250,2,2007
1,1,39.3,20.6,190,3650,1,2007
1,1,39.2,19.6,195,4675,1,2007
1,1,34.6,21.1,198,4400,1,2007
1,1,38.7,19,195,3450,2,2007
1,1,34.4,18.4,184,3325,2,2007
1,1,46,21.5,194,4200,1,2007
1,2,37.7,18.7,180,3600,1,2007
1,2,35.9,19.2,189,3800,2,2007
1,2,38.2,18.1,185,3950,1,2007
1,2,38.8,17.2,180,3800,1,2007
1,2,35.3,18.9,187,3800,2,2007
1,2,40.5,17.9,187,3200,2,2007
1,2,40.5,18.9,180,3950,1,2007
1,3,39.5,16.7,178,3250,2,2007
1,3,37.2,18.1,178,3900,1,2007
1,3,39.5,17.8,188,3300,2,2007
1,3,40.9,18.9,184,3900,1,2007
1,3,36.4,17,195,3325,2,2007
1,3,39.2,21.1,196,4150,1,2007
1,3,38.8,20,190,3950,1,2007
1,3,42.2,18.5,180,3550,2,2007
1,3,39.8,19.1,184,4650,1,2007
1,3,44.1,19.7,196,4400,1,2007
1,3,36,17.9,190,3450,2,2007
1,3,42.3,21.2,191,4150,1,2007
1,2,40.1,18.9,188,4300,1,2008
1,2,39,17.5,186,3550,2,2008
1,2,37.6,19.1,194,3750,1,2008
1,2,35.7,16.9,185,3150,2,2008
1,2,37.6,17,185,3600,2,2008
1,2,41.1,18.2,192,4050,1,2008
1,2,41.6,18,192,3950,1,2008
1,1,41.8,19.4,198,4450,1,2008
1,1,33.5,19,190,3600,2,2008
1,1,39.7,18.4,190,3900,1,2008
1,1,39.6,17.2,196,3550,2,2008
1,1,45.8,18.9,197,4150,1,2008
1,1,35.5,17.5,190,3700,2,2008
1,1,37.2,19.4,184,3900,1,2008
1,1,36.2,16.1,187,3550,2,2008
1,1,42.1,19.1,195,4000,1,2008
1,1,35.1,19.4,193,4200,1,2008
1,3,36.3,19.5,190,3800,1,2008
1,3,36.9,18.6,189,3500,2,2008
1,3,38.3,19.2,189,3950,1,2008
1,3,38.9,18.8,190,3600,2,2008
1,3,35.7,18,202,3550,2,2008
1,3,39.6,18.1,186,4450,1,2008
1,3,40.8,18.9,208,4300,1,2008
1,3,40.3,18.5,196,4350,1,2008
1,2,38.1,16.5,198,3825,2,2009
1,2,39.6,20.7,191,3900,2,2009
1,1,35.7,17,189,3350,2,2009
1,1,41.1,18.6,189,3325,1,2009
1,1,36.2,17.2,187,3150,2,2009
1,1,40.2,17,176,3450,2,2009
1,1,38.8,17.6,191,3275,2,2009
1,1,41.5,18.3,195,4300,1,2009
1,1,44.1,18,210,4000,1,2009
1,3,37.5,18.5,199,4475,1,2009
1,3,41.1,17.5,190,3900,1,2009
1,3,35.6,17.5,191,3175,2,2009
1,3,40.2,20.1,200,3975,1,2009
1,3,37,16.5,185,3400,2,2009
1,3,39.7,17.9,193,4250,1,2009
1,3,40.2,17.1,193,3400,2,2009
1,3,40.6,17.2,187,3475,1,2009
1,3,40.7,17,190,3725,1,2009
1,3,36.6,18.4,184,3475,2,2009
1,3,36,17.1,187,3700,2,2009
1,2,45.7,13.9,214,4400,2,2008
1,2,45.2,13.8,215,4750,2,2008
1,2,47.5,14.2,209,4600,2,2008
1,3,46.2,17.5,187,3650,2,2008
1,3,50.8,18.5,201,4450,1,2009
1,3,51,18.8,203,4100,1,2008
1,3,52,19,197,4150,1,2007
1,3,49.8,17.3,198,3675,2,2009
1,3,52.8,20,205,4550,1,2008
1,3,49.6,18.2,193,3775,1,2009
2,2,42.2,19.5,197,4275,1,2009
2,2,41,20,203,4725,1,2009
2,3,41.1,18.1,205,4300,1,2008
2,2,48.7,14.1,210,4450,2,2007
2,2,46.5,13.5,210,4550,2,2007
2,2,46.7,15.3,219,5200,1,2007
2,2,43.3,13.4,209,4400,2,2007
2,2,46.8,15.4,215,5150,1,2007
2,2,45.5,13.7,214,4650,2,2007
2,2,45.8,14.6,210,4200,2,2007
2,2,42,13.5,210,4150,2,2007
2,2,46.2,14.5,209,4800,2,2007
2,2,46.3,15.8,215,5050,1,2007
2,2,42.9,13.1,215,5000,2,2007
2,2,46.1,15.1,215,5100,1,2007
2,2,47.3,15.3,222,5250,1,2007
2,2,42.8,14.2,209,4700,2,2007
2,2,48.7,15.7,208,5350,1,2008
2,2,49.6,15,216,4750,1,2008
2,2,50.5,15.9,222,5550,1,2008
2,2,43.6,13.9,217,4900,2,2008
2,2,45.5,13.9,210,4200,2,2008
2,2,50.5,15.9,225,5400,1,2008
2,2,44.9,13.3,213,5100,2,2008
2,2,46.6,14.2,210,4850,2,2008
2,2,48.5,14.1,220,5300,1,2008
2,2,45.1,14.4,210,4400,2,2008
2,2,45,15.4,220,5050,1,2008
2,2,43.8,13.9,208,4300,2,2008
2,2,45.5,15,220,5000,1,2008
2,2,43.2,14.5,208,4450,2,2008
2,2,46.2,14.9,221,5300,1,2008
2,2,50.7,15,223,5550,1,2008
2,2,48.2,15.6,221,5100,1,2008
2,2,46.5,14.8,217,5200,2,2008
2,2,46.4,15,216,4700,2,2008
2,2,44.9,13.8,212,4750,2,2009
2,2,43.4,14.4,218,4600,2,2009
2,2,47.5,14,212,4875,2,2009
2,2,52.1,17,230,5550,1,2009
2,2,47.5,15,218,4950,2,2009
2,2,45.5,14.5,212,4750,2,2009
2,2,44.5,14.7,214,4850,2,2009
2,2,49.4,15.8,216,4925,1,2009
2,2,46.9,14.6,222,4875,2,2009
2,2,48.4,14.4,203,4625,2,2009
2,2,51.1,16.5,225,5250,1,2009
2,2,48.5,15,219,4850,2,2009
2,2,47.2,15.5,215,4975,2,2009
2,2,41.7,14.7,210,4700,2,2009
2,2,43.3,14,208,4575,2,2009
2,2,48.1,15.1,209,5500,1,2009
2,2,51.5,16.3,230,5500,1,2009
2,2,46.8,14.3,215,4850,2,2009
2,2,49.9,16.1,213,5400,1,2009
2,3,49.2,18.2,195,4400,1,2007
3,1,39.5,17.4,186,3800,2,2007
3,2,39.7,18.9,184,3550,1,2009
3,1,42.5,20.7,197,4500,1,2007
3,3,37.8,18.1,193,3750,1,2009
3,3,36,18.5,186,3100,2,2007
3,2,37.8,18.3,174,3400,2,2007
3,2,41.4,18.6,191,3700,1,2008
3,2,35.5,16.2,195,3350,2,2008
3,1,36.6,17.8,185,3700,2,2007
3,3,37.3,17.8,191,3350,2,2008
3,3,36,17.8,195,3450,2,2009
3,1,35.9,16.6,190,3050,2,2008
3,1,34.6,17.2,189,3200,2,2008
3,3,41.5,18.5,201,4000,1,2009
3,1,38.6,21.2,191,3800,1,2007
3,1,35.2,15.9,186,3050,2,2009
3,2,43.5,15.2,213,4650,2,2009
3,2,47.4,14.6,212,4725,2,2009
3,3,50,19.5,196,3900,1,2007
3,3,51.3,19.9,198,3700,1,2007
3,3,46.6,17.8,193,3800,2,2007
3,3,51.7,20.3,194,3775,1,2007
3,3,52,18.1,201,4050,1,2007
3,3,50.5,19.6,201,4050,1,2007
3,3,50.3,20,197,3300,1,2007
3,3,58,17.8,181,3700,2,2007
3,3,42.4,17.3,181,3600,2,2007
3,3,48.5,17.5,191,3400,1,2007
3,3,50.6,19.4,193,3800,1,2007
3,3,46.4,17.8,191,3700,2,2008
3,3,42.5,16.7,187,3350,2,2008
3,3,49.7,18.6,195,3600,1,2008
3,3,53.5,19.9,205,4500,1,2008
3,3,49,19.5,210,3950,1,2008
3,3,45.5,17,196,3500,2,2008
3,3,50.9,17.9,196,3675,2,2009
3,3,50.1,17.9,190,3400,2,2009
3,3,49,19.6,212,4300,1,2009
