species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
1,1,41.1,18.6,189,3325,1,2009
1,1,37.7,19.8,198,3500,1,2009
1,2,46.2,14.1,217,4375,2,2009
1,2,46.8,14.3,215,4850,2,2009
1,2,43.6,13.9,217,4900,2,2008
2,1,36.7,18.8,187,3800,2,2008
2,1,42.8,18.5,195,4250,1,2008
2,3,43.2,18.5,192,4100,1,2008
2,2,46.1,13.2,211,4500,2,2007
2,2,50,16.3,230,5700,1,2007
2,2,48.7,14.1,210,4450,2,2007
2,2,47.6,14.5,215,5400,1,2007
2,2,46.5,13.5,210,4550,2,2007
2,2,43.3,13.4,209,4400,2,2007
2,2,40.9,13.7,214,4650,2,2007
2,2,45.5,13.7,214,4650,2,2007
2,2,46.2,14.5,209,4800,2,2007
2,2,46.1,15.1,215,5100,1,2007
2,2,45.1,14.5,207,5050,2,2007
2,2,49.1,14.8,220,5150,2,2008
2,2,48.4,16.3,220,5400,1,2008
2,2,44,13.6,208,4350,2,2008
2,2,49.6,16,225,5700,1,2008
2,2,45.3,13.7,210,4300,2,2008
2,2,50.5,15.9,222,5550,1,2008
2,2,45.5,13.9,210,4200,2,2008
2,2,44.9,13.3,213,5100,2,2008
2,2,46.6,14.2,210,4850,2,2008
2,2,48.5,14.1,220,5300,1,2008
2,2,45.1,14.4,210,4400,2,2008
2,2,50.1,15,225,5000,1,2008
2,2,46.5,14.4,217,4900,2,2008
2,2,45,15.4,220,5050,1,2008
2,2,43.8,13.9,208,4300,2,2008
2,2,45.5,15,220,5000,1,2008
2,2,43.2,14.5,208,4450,2,2008
2,2,50.4,15.3,224,5550,1,2008
2,2,45.7,13.9,214,4400,2,2008
2,2,54.3,15.7,231,5650,1,2008
2,2,45.8,14.2,219,4700,2,2008
2,2,49.5,16.2,229,5800,1,2008
2,2,50.7,15,223,5550,1,2008
2,2,47.7,15,216,4750,2,2008
2,2,46.4,15.6,221,5000,1,2008
2,2,48.2,15.6,221,5100,1,2008
2,2,46.4,15,216,4700,2,2008
2,2,48.6,16,230,5800,1,2008
2,2,47.5,14.2,209,4600,2,2008
2,2,45.2,13.8,215,4750,2,2008
2,2,49.1,14.5,212,4625,2,2009
2,2,47.4,14.6,212,4725,2,2009
2,2,44.9,13.8,212,4750,2,2009
2,2,47.5,14,212,4875,2,2009
2,2,52.1,17,230,5550,1,2009
2,2,47.5,15,218,4950,2,2009
2,2,52.2,17.1,228,5400,1,2009
2,2,44.5,14.7,214,4850,2,2009
2,2,49.4,15.8,216,4925,1,2009
2,2,46.9,14.6,222,4875,2,2009
2,2,48.4,14.4,203,4625,2,2009
2,2,55.9,17,228,5600,1,2009
2,2,47.2,15.5,215,4975,2,2009
2,2,49.1,15,228,5500,1,2009
2,2,41.7,14.7,210,4700,2,2009
2,2,53.4,15.8,219,5500,1,2009
2,2,43.3,14,208,4575,2,2009
2,2,50.5,15.2,216,5000,2,2009
2,2,43.5,15.2,213,4650,2,2009
2,2,51.5,16.3,230,5500,1,2009
2,2,47.2,13.7,214,4925,2,2009
2,2,45.2,14.8,212,5200,2,2009
2,3,51,18.8,203,4100,1,2008
3,1,33.5,19,190,3600,2,2008
3,2,40.5,17.9,187,3200,2,2007
3,2,37.6,17,185,3600,2,2008
3,3,38.1,17.6,187,3425,2,2009
3,3,36.3,19.5,190,3800,1,2008
3,3,38.1,18.6,190,3700,2,2008
3,1,36.2,16.1,187,3550,2,2008
3,1,34.6,17.2,189,3200,2,2008
3,1,41.1,17.6,182,3200,2,2007
3,2,42,19.5,200,4050,1,2008
3,2,43.5,14.2,220,4700,2,2008
3,3,46.5,17.9,192,3500,2,2007
3,3,45.4,18.7,188,3525,2,2007
3,3,45.2,17.8,198,3950,2,2007
3,3,46.1,18.2,178,3250,2,2007
3,3,46,18.9,195,4150,2,2007
3,3,51.3,19.9,198,3700,1,2007
3,3,46.6,17.8,193,3800,2,2007
3,3,47,17.3,185,3700,2,2007
3,3,52,18.1,201,4050,1,2007
3,3,50.5,19.6,201,4050,1,2007
3,3,58,17.8,181,3700,2,2007
3,3,46.4,18.6,190,3450,2,2007
3,3,49.2,18.2,195,4400,1,2007
3,3,42.4,17.3,181,3600,2,2007
3,3,48.5,17.5,191,3400,1,2007
3,3,50.6,19.4,193,3800,1,2007
3,3,52,19,197,4150,1,2007
3,3,50.5,18.4,200,3400,2,2008
3,3,49.5,19,200,3800,1,2008
3,3,46.4,17.8,191,3700,2,2008
3,3,42.5,16.7,187,3350,2,2008
3,3,49.7,18.6,195,3600,1,2008
3,3,47.5,16.8,199,3900,2,2008
3,3,49,19.5,210,3950,1,2008
3,3,45.5,17,196,3500,2,2008
3,3,50.9,17.9,196,3675,2,2009
3,3,50.8,18.5,201,4450,1,2009
3,3,48.1,16.4,199,3325,2,2009
3,3,51.4,19,201,3950,1,2009
3,3,45.7,17.3,193,3600,2,2009
3,3,50.2,18.8,202,3800,1,2009
3,3,45.6,19.4,194,3525,2,2009
3,3,51.9,19.5,206,3950,1,2009
3,3,55.8,19.8,207,4000,1,2009
3,3,43.5,18.1,202,3400,2,2009
3,3,49.6,18.2,193,3775,1,2009
3,3,50.8,19,210,4100,1,2009
