species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
1,1,34.6,21.1,198,4400,1
1,2,38.8,17.2,180,3800,1
1,2,37.9,18.6,172,3150,2
1,3,37.2,18.1,178,3900,1
1,3,38.8,20,190,3950,1
1,3,40.8,18.4,195,3900,1
1,3,41.1,19,182,3425,1
1,2,41.4,18.6,191,3700,1
1,2,41.3,21.1,195,4400,1
1,2,41.1,19.1,188,4100,1
1,1,37.2,19.4,184,3900,1
1,1,36.7,18.8,187,3800,2
1,1,35.1,19.4,193,4200,1
1,3,43.2,18.5,192,4100,1
1,2,37.8,20,190,4250,1
1,2,39.6,20.7,191,3900,2
1,1,41.4,18.5,202,3875,1
1,1,40.6,19,199,4000,1
1,3,37.5,18.5,199,4475,1
1,3,39.7,17.9,193,4250,1
1,3,40.6,17.2,187,3475,1
1,3,40.7,17,190,3725,1
1,3,39,18.7,185,3650,1
1,3,39.2,18.6,190,4250,1
1,3,36.6,18.4,184,3475,2
1,3,45.7,17,195,3650,2
1,3,54.2,20.8,201,4300,1
1,3,51.3,19.2,193,3650,1
1,3,49,19.6,212,4300,1
1,3,50.5,19.6,201,4050,1
1,3,52,18.1,201,4050,1
1,3,50.6,19.4,193,3800,1
1,3,52,19,197,4150,1
1,3,45.2,17.8,198,3950,2
1,3,53.5,19.9,205,4500,1
1,3,47,17.3,185,3700,2
1,2,42,13.5,210,4150,2
1,2,44,13.6,208,4350,2
2,2,35,17.9,192,3725,2
2,1,38.9,17.8,181,3625,2
2,1,36.2,16.1,187,3550,2
2,2,38.2,20,190,3900,1
2,2,38.2,18.1,185,3950,1
2,2,37.8,18.3,174,3400,2
2,3,40.9,18.9,184,3900,1
2,2,35.9,19.2,189,3800,2
2,1,40.2,17,176,3450,2
2,3,38.9,18.8,190,3600,2
2,1,42.8,18.5,195,4250,1
2,2,39,17.5,186,3550,2
2,3,46.6,17.8,193,3800,2
2,3,51.7,20.3,194,3775,1
2,3,49.5,19,200,3800,1
2,3,51,18.8,203,4100,1
2,3,47.5,16.8,199,3900,2
2,3,47.6,18.3,195,3850,2
2,3,46.2,17.5,187,3650,2
2,3,50.9,17.9,196,3675,2
2,3,50.8,18.5,201,4450,1
2,3,49.3,19.9,203,4050,1
2,3,46.8,16.5,189,3650,2
2,3,55.8,19.8,207,4000,1
2,3,49.6,18.2,193,3775,1
2,3,50.2,18.7,198,3775,2
2,2,49.6,15,216,4750,1
2,2,43.3,14,208,4575,2
2,2,48.5,15,219,4850,2
2,2,42.8,14.2,209,4700,2
2,2,46.9,14.6,222,4875,2
2,2,44.9,13.8,212,4750,2
2,2,43.4,14.4,218,4600,2
2,2,40.9,13.7,214,4650,2
2,2,46.1,13.2,211,4500,2
2,2,41.7,14.7,210,4700,2
3,2,42.7,18.3,196,4075,1
3,3,41.1,17.5,190,3900,1
3,3,39.6,18.1,186,4450,1
3,3,41.1,18.1,205,4300,1
3,1,35.5,17.5,190,3700,2
3,3,38.3,19.2,189,3950,1
3,1,41.5,18.3,195,4300,1
3,3,42.3,21.2,191,4150,1
3,1,38.6,21.2,191,3800,1
3,1,39.5,17.4,186,3800,2
3,2,37.7,18.7,180,3600,1
3,3,44.1,19.7,196,4400,1
3,2,40.6,18.6,183,3550,1
3,2,35.3,18.9,187,3800,2
3,3,37.8,18.1,193,3750,1
3,1,36.6,17.8,185,3700,2
3,3,58,17.8,181,3700,2
3,3,52.8,20,205,4550,1
3,3,42.4,17.3,181,3600,2
3,2,45.4,14.6,211,4800,2
3,2,45.8,14.6,210,4200,2
3,2,45.1,14.5,215,5000,2
3,2,46.5,14.5,213,4400,2
3,2,48.2,14.3,210,4600,2
3,2,42.6,13.7,213,4950,2
3,2,45.3,13.7,210,4300,2
3,2,43.6,13.9,217,4900,2
3,2,46.6,14.2,210,4850,2
3,2,45.1,14.4,210,4400,2
3,2,45,15.4,220,5050,1
3,2,45.7,13.9,214,4400,2
3,2,46.4,15,216,4700,2
3,2,47.5,14.2,209,4600,2
3,2,45.2,13.8,215,4750,2
3,2,49.1,14.5,212,4625,2
3,2,47.4,14.6,212,4725,2
3,2,47.5,14,212,4875,2
3,2,45.5,14.5,212,4750,2
3,2,47.2,15.5,215,4975,2
3,2,43.5,15.2,213,4650,2
3,2,47.2,13.7,214,4925,2
