species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
1,1,41.1,18.6,189,3325,1,2009
1,2,47.5,15,218,4950,2,2009
1,2,46.9,14.6,222,4875,2,2009
1,3,45.2,17.8,198,3950,2,2007
2,2,41.1,19.1,188,4100,1,2008
2,2,50,16.3,230,5700,1,2007
2,2,50,15.2,218,5700,1,2007
2,2,47.6,14.5,215,5400,1,2007
2,2,43.3,13.4,209,4400,2,2007
2,2,46.8,15.4,215,5150,1,2007
2,2,49,16.1,216,5550,1,2007
2,2,48.4,14.6,213,5850,1,2007
2,2,45.8,14.6,210,4200,2,2007
2,2,48.7,15.1,222,5350,1,2007
2,2,50.2,14.3,218,5700,1,2007
2,2,45.1,14.5,215,5000,2,2007
2,2,46.3,15.8,215,5050,1,2007
2,2,42.9,13.1,215,5000,2,2007
2,2,47.8,15,215,5650,1,2007
2,2,50,15.3,220,5550,1,2007
2,2,42.8,14.2,209,4700,2,2007
2,2,45.1,14.5,207,5050,2,2007
2,2,49.1,14.8,220,5150,2,2008
2,2,48.4,16.3,220,5400,1,2008
2,2,44,13.6,208,4350,2,2008
2,2,49.6,16,225,5700,1,2008
2,2,45.3,13.7,210,4300,2,2008
2,2,49.6,15,216,4750,1,2008
2,2,44.9,13.3,213,5100,2,2008
2,2,48.5,14.1,220,5300,1,2008
2,2,45.1,14.4,210,4400,2,2008
2,2,50.1,15,225,5000,1,2008
2,2,45,15.4,220,5050,1,2008
2,2,43.8,13.9,208,4300,2,2008
2,2,45.5,15,220,5000,1,2008
2,2,43.2,14.5,208,4450,2,2008
2,2,45.3,13.8,208,4200,2,2008
2,2,45.7,13.9,214,4400,2,2008
2,2,54.3,15.7,231,5650,1,2008
2,2,49.5,16.2,229,5800,1,2008
2,2,50.7,15,223,5550,1,2008
2,2,48.2,15.6,221,5100,1,2008
2,2,46.5,14.8,217,5200,2,2008
2,2,46.4,15,216,4700,2,2008
2,2,48.6,16,230,5800,1,2008
2,2,47.5,14.2,209,4600,2,2008
2,2,45.2,13.8,215,4750,2,2008
2,2,49.1,14.5,212,4625,2,2009
2,2,52.5,15.6,221,5450,1,2009
2,2,50,15.9,224,5350,1,2009
2,2,50.8,17.3,228,5600,1,2009
2,2,43.4,14.4,218,4600,2,2009
2,2,51.3,14.2,218,5300,1,2009
2,2,47.5,14,212,4875,2,2009
2,2,52.1,17,230,5550,1,2009
2,2,52.2,17.1,228,5400,1,2009
2,2,49.5,16.1,224,5650,1,2009
2,2,49.4,15.8,216,4925,1,2009
2,2,51.1,16.5,225,5250,1,2009
2,2,48.5,15,219,4850,2,2009
2,2,47.2,15.5,215,4975,2,2009
2,2,49.1,15,228,5500,1,2009
2,2,46.8,16.1,215,5500,1,2009
2,2,41.7,14.7,210,4700,2,2009
2,2,43.3,14,208,4575,2,2009
2,2,51.5,16.3,230,5500,1,2009
2,2,46.2,14.1,217,4375,2,2009
2,2,55.1,16,230,5850,1,2009
2,2,47.2,13.7,214,4925,2,2009
2,2,46.8,14.3,215,4850,2,2009
2,2,49.9,16.1,213,5400,1,2009
2,3,52,19,197,4150,1,2007
2,3,49.3,19.9,203,4050,1,2009
3,2,35.3,18.9,187,3800,2,2007
3,3,37.6,19.3,181,3300,2,2007
3,3,39.2,21.1,196,4150,1,2007
3,3,38.8,20,190,3950,1,2007
3,2,35,17.9,192,3725,2,2009
3,1,41.4,18.5,202,3875,1,2009
3,2,37.8,18.3,174,3400,2,2007
3,2,46.5,14.5,213,4400,2,2007
3,3,46.5,17.9,192,3500,2,2007
3,3,50,19.5,196,3900,1,2007
3,3,52.7,19.8,197,3725,1,2007
3,3,46.1,18.2,178,3250,2,2007
3,3,51.3,18.2,197,3750,1,2007
3,3,46,18.9,195,4150,2,2007
3,3,46.6,17.8,193,3800,2,2007
3,3,51.7,20.3,194,3775,1,2007
3,3,47,17.3,185,3700,2,2007
3,3,45.9,17.1,190,3575,2,2007
3,3,50.5,19.6,201,4050,1,2007
3,3,58,17.8,181,3700,2,2007
3,3,49.2,18.2,195,4400,1,2007
3,3,48.5,17.5,191,3400,1,2007
3,3,50.6,19.4,193,3800,1,2007
3,3,50.5,18.4,200,3400,2,2008
3,3,52.8,20,205,4550,1,2008
3,3,40.9,16.6,187,3200,2,2008
3,3,42.5,16.7,187,3350,2,2008
3,3,51,18.8,203,4100,1,2008
3,3,49.7,18.6,195,3600,1,2008
3,3,47.5,16.8,199,3900,2,2008
3,3,47.6,18.3,195,3850,2,2008
3,3,46.2,17.5,187,3650,2,2008
3,3,50.9,19.1,196,3550,1,2008
3,3,45.5,17,196,3500,2,2008
3,3,50.9,17.9,196,3675,2,2009
3,3,49,19.6,212,4300,1,2009
3,3,51.5,18.7,187,3250,1,2009
3,3,48.1,16.4,199,3325,2,2009
3,3,51.4,19,201,3950,1,2009
3,3,50.7,19.7,203,4050,1,2009
3,3,42.5,17.3,187,3350,2,2009
3,3,52.2,18.8,197,3450,1,2009
3,3,45.2,16.6,191,3250,2,2009
3,3,45.6,19.4,194,3525,2,2009
3,3,51.9,19.5,206,3950,1,2009
3,3,46.8,16.5,189,3650,2,2009
3,3,45.7,17,195,3650,2,2009
3,3,55.8,19.8,207,4000,1,2009
3,3,49.6,18.2,193,3775,1,2009
