species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
1,1,39.5,17.4,186,3800,2
1,1,38.9,17.8,181,3625,2
1,1,38.6,21.2,191,3800,1
1,1,34.6,21.1,198,4400,1
1,1,46,21.5,194,4200,1
1,2,35.3,18.9,187,3800,2
1,2,40.6,18.6,183,3550,1
1,2,40.5,17.9,187,3200,2
1,2,37.9,18.6,172,3150,2
1,2,40.5,18.9,180,3950,1
1,3,37.2,18.1,178,3900,1
1,3,40.9,18.9,184,3900,1
1,3,37.6,19.3,181,3300,2
1,3,36.5,18,182,3150,2
1,3,44.1,19.7,196,4400,1
1,3,41.1,19,182,3425,1
1,3,42.3,21.2,191,4150,1
1,2,39.6,17.7,186,3500,2
1,2,41.4,18.6,191,3700,1
1,2,39,17.5,186,3550,2
1,2,41.3,21.1,195,4400,1
1,2,41.1,18.2,192,4050,1
1,2,41.1,19.1,188,4100,1
1,1,39.6,17.2,196,3550,2
1,1,36.2,16.1,187,3550,2
1,1,36.7,18.8,187,3800,2
1,3,37.3,17.8,191,3350,2
1,3,38.3,19.2,189,3950,1
1,3,38.9,18.8,190,3600,2
1,3,41.1,18.1,205,4300,1
1,3,34,17.1,185,3400,2
1,3,36.2,17.3,187,3300,2
1,3,33.1,16.1,178,2900,2
1,3,43.2,18.5,192,4100,1
1,2,41,20,203,4725,1
1,2,39.7,18.9,184,3550,1
1,2,38.2,20,190,3900,1
1,2,43.2,19,197,4775,1
1,1,35.7,17,189,3350,2
1,1,41.5,18.3,195,4300,1
1,1,38.5,17.9,190,3325,2
1,3,38.1,17.6,187,3425,2
1,3,39.7,17.9,193,4250,1
1,3,40.6,17.2,187,3475,1
1,3,39,18.7,185,3650,1
1,3,41.5,18.5,201,4000,1
1,2,42,19.5,3,4050,1
1,2,35.9,19.2,3,3800,2
1,1,36.7,19.3,3,3450,2
1,1,40.2,17,2,3450,2
1,1,41.1,17.6,2,3200,2
1,1,41.1,18.6,2,3325,1
1,3,36,17.9,3,3450,2
1,2,36.4,17.1,3,2850,2
1,1,39.3,20.6,3,3650,1
1,1,38.7,19,3,3450,2
1,3,35.7,18,3,3550,2
1,1,38.6,17,3,2900,2
1,1,35.2,15.9,3,3050,2
1,3,36.3,19.5,3,3800,1
1,3,36,18.5,2,3100,2
1,3,37,16.9,3,3000,2
1,3,36,17.8,2,3450,2
1,1,40.9,16.8,2,3700,2
1,2,38.8,17.2,3,3800,1
1,1,39,17.1,2,3050,2
1,3,37.3,16.8,3,3000,2
1,3,37.8,18.1,2,3750,1
1,2,35,17.9,2,3450,2
1,3,39.2,21.1,3,4150,1
1,1,37.7,19.8,3,3500,1
1,1,38.8,17.6,3,3275,2
1,3,40.7,17,3,3725,1
1,1,43.1,19.2,3,3500,1
1,2,40.6,18.8,2,3800,1
1,3,39.5,17.8,2,3300,2
1,3,42.2,18.5,3,3550,2
