species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
1,1,39.5,17.4,186,3800,2
1,1,40.3,18,195,3250,2
1,1,36.7,19.3,193,3450,2
1,1,39.3,20.6,190,3650,1
1,1,38.9,17.8,181,3625,2
1,1,38.6,21.2,191,3800,1
1,1,36.6,17.8,185,3700,2
1,1,38.7,19,195,3450,2
1,1,42.5,20.7,197,4500,1
1,1,34.4,18.4,184,3325,2
1,1,46,21.5,194,4200,1
1,2,38.2,18.1,185,3950,1
1,2,35.3,18.9,187,3800,2
1,2,40.5,17.9,187,3200,2
1,2,37.9,18.6,172,3150,2
1,3,39.5,16.7,178,3250,2
1,3,39.5,17.8,188,3300,2
1,3,40.9,18.9,184,3900,1
1,3,36.4,17,195,3325,2
1,3,38.8,20,190,3950,1
1,3,37.6,19.3,181,3300,2
1,3,37,16.9,185,3000,2
1,3,41.1,19,182,3425,1
1,3,36,17.9,190,3450,2
1,2,40.1,18.9,188,4300,1
1,2,35,17.9,190,3450,2
1,2,42,19.5,200,4050,1
1,2,34.5,18.1,187,2900,2
1,2,41.4,18.6,191,3700,1
1,2,37.6,19.1,194,3750,1
1,2,35.7,16.9,185,3150,2
1,2,37.6,17,185,3600,2
1,2,36.4,17.1,184,2850,2
1,2,41.6,18,192,3950,1
1,2,35.5,16.2,195,3350,2
1,1,35.9,16.6,190,3050,2
1,1,41.8,19.4,198,4450,1
1,1,33.5,19,190,3600,2
1,1,39.7,18.4,190,3900,1
1,1,39.6,17.2,196,3550,2
1,1,35.5,17.5,190,3700,2
1,1,42.8,18.5,195,4250,1
1,1,40.9,16.8,191,3700,2
1,1,37.2,19.4,184,3900,1
1,1,36.2,16.1,187,3550,2
1,1,42.1,19.1,195,4000,1
1,1,36.7,18.8,187,3800,2
1,1,35.1,19.4,193,4200,1
1,3,37.3,17.8,191,3350,2
1,3,41.3,20.3,194,3550,1
1,3,36.3,19.5,190,3800,1
1,3,36.9,18.6,189,3500,2
1,3,35.7,18,202,3550,2
1,3,34,17.1,185,3400,2
1,3,39.6,18.1,186,4450,1
1,3,36.2,17.3,187,3300,2
1,3,40.8,18.9,208,4300,1
1,3,38.1,18.6,190,3700,2
1,3,40.3,18.5,196,4350,1
1,3,33.1,16.1,178,2900,2
1,3,43.2,18.5,192,4100,1
1,2,35,17.9,192,3725,2
1,2,41,20,203,4725,1
1,2,37.7,16,183,3075,2
1,2,37.8,20,190,4250,1
1,2,37.9,18.6,193,2925,2
1,2,39.7,18.9,184,3550,1
1,2,38.6,17.2,199,3750,2
1,2,38.1,17,181,3175,2
1,2,38.1,16.5,198,3825,2
1,2,39.7,17.7,193,3200,2
1,2,42.2,19.5,197,4275,1
1,2,39.6,20.7,191,3900,2
1,2,42.7,18.3,196,4075,1
1,1,38.6,17,188,2900,2
1,1,37.3,20.5,199,3775,1
1,1,35.7,17,189,3350,2
1,1,41.1,18.6,189,3325,1
1,1,40.6,19,199,4000,1
1,1,41.5,18.3,195,4300,1
1,1,39,17.1,191,3050,2
1,1,43.1,19.2,197,3500,1
1,3,37.5,18.5,199,4475,1
1,3,38.1,17.6,187,3425,2
1,3,41.1,17.5,190,3900,1
1,3,35.6,17.5,191,3175,2
1,3,40.2,20.1,200,3975,1
1,3,37,16.5,185,3400,2
1,3,39.7,17.9,193,4250,1
1,3,40.2,17.1,193,3400,2
1,3,40.6,17.2,187,3475,1
1,3,40.7,17,190,3725,1
