species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
1,2,37.7,18.7,180,3600,1,2007
1,3,41.1,19,182,3425,1,2007
1,2,41.4,18.6,191,3700,1,2008
1,2,39.7,18.9,184,3550,1,2009
1,1,41.1,18.6,189,3325,1,2009
1,1,43.1,19.2,197,3500,1,2009
1,3,40.6,17.2,187,3475,1,2009
1,3,39,18.7,185,3650,1,2009
1,2,45.5,14.5,212,4750,2,2009
1,2,43.3,13.4,209,4400,2,2007
1,2,44.9,13.8,212,4750,2,2009
1,2,47.4,14.6,212,4725,2,2009
1,2,43.5,14.2,220,4700,2,2008
1,2,47.5,15,218,4950,2,2009
2,2,46.1,13.2,211,4500,2,2007
2,2,48.7,14.1,210,4450,2,2007
2,2,47.6,14.5,215,5400,1,2007
2,2,46.5,13.5,210,4550,2,2007
2,2,45.4,14.6,211,4800,2,2007
2,2,46.8,15.4,215,5150,1,2007
2,2,49,16.1,216,5550,1,2007
2,2,45.5,13.7,214,4650,2,2007
2,2,45.8,14.6,210,4200,2,2007
2,2,42,13.5,210,4150,2,2007
2,2,48.7,15.1,222,5350,1,2007
2,2,45.1,14.5,215,5000,2,2007
2,2,46.5,14.5,213,4400,2,2007
2,2,46.3,15.8,215,5050,1,2007
2,2,46.1,15.1,215,5100,1,2007
2,2,45.1,14.5,207,5050,2,2007
2,2,49.1,14.8,220,5150,2,2008
2,2,48.4,16.3,220,5400,1,2008
2,2,42.6,13.7,213,4950,2,2008
2,2,44.4,17.3,219,5250,1,2008
2,2,49.6,15,216,4750,1,2008
2,2,50.5,15.9,222,5550,1,2008
2,2,45.5,13.9,210,4200,2,2008
2,2,50.5,15.9,225,5400,1,2008
2,2,44.9,13.3,213,5100,2,2008
2,2,46.6,14.2,210,4850,2,2008
2,2,48.5,14.1,220,5300,1,2008
2,2,50.1,15,225,5000,1,2008
2,2,46.5,14.4,217,4900,2,2008
2,2,43.8,13.9,208,4300,2,2008
2,2,45.5,15,220,5000,1,2008
2,2,43.2,14.5,208,4450,2,2008
2,2,50.4,15.3,224,5550,1,2008
2,2,45.3,13.8,208,4200,2,2008
2,2,46.2,14.9,221,5300,1,2008
2,2,45.7,13.9,214,4400,2,2008
2,2,54.3,15.7,231,5650,1,2008
2,2,45.8,14.2,219,4700,2,2008
2,2,50.7,15,223,5550,1,2008
2,2,48.2,15.6,221,5100,1,2008
2,2,46.5,14.8,217,5200,2,2008
2,2,46.4,15,216,4700,2,2008
2,2,47.5,14.2,209,4600,2,2008
2,2,45.2,13.8,215,4750,2,2008
2,2,49.1,14.5,212,4625,2,2009
2,2,52.5,15.6,221,5450,1,2009
2,2,50,15.9,224,5350,1,2009
2,2,50.8,17.3,228,5600,1,2009
2,2,51.3,14.2,218,5300,1,2009
2,2,47.5,14,212,4875,2,2009
2,2,52.1,17,230,5550,1,2009
2,2,52.2,17.1,228,5400,1,2009
2,2,49.5,16.1,224,5650,1,2009
2,2,49.4,15.8,216,4925,1,2009
2,2,46.9,14.6,222,4875,2,2009
2,2,48.4,14.4,203,4625,2,2009
2,2,51.1,16.5,225,5250,1,2009
2,2,48.5,15,219,4850,2,2009
2,2,55.9,17,228,5600,1,2009
2,2,47.2,15.5,215,4975,2,2009
2,2,41.7,14.7,210,4700,2,2009
2,2,53.4,15.8,219,5500,1,2009
2,2,50.5,15.2,216,5000,2,2009
2,2,51.5,16.3,230,5500,1,2009
2,2,46.2,14.1,217,4375,2,2009
2,2,47.2,13.7,214,4925,2,2009
2,2,49.9,16.1,213,5400,1,2009
2,3,49.2,18.2,195,4400,1,2007
3,3,39.5,16.7,178,3250,2,2007
3,3,35.6,17.5,191,3175,2,2009
3,3,43.2,18.5,192,4100,1,2008
3,2,35.9,19.2,189,3800,2,2007
3,1,35.7,17,189,3350,2,2009
3,3,40.9,18.9,184,3900,1,2007
3,2,45.3,13.7,210,4300,2,2008
3,3,45.4,18.7,188,3525,2,2007
3,3,52.7,19.8,197,3725,1,2007
3,3,51.3,19.9,198,3700,1,2007
3,3,47,17.3,185,3700,2,2007
3,3,52,18.1,201,4050,1,2007
3,3,50.5,19.6,201,4050,1,2007
3,3,42.4,17.3,181,3600,2,2007
3,3,48.5,17.5,191,3400,1,2007
3,3,46.7,17.9,195,3300,2,2007
3,3,52,19,197,4150,1,2007
3,3,49.5,19,200,3800,1,2008
3,3,46.4,17.8,191,3700,2,2008
3,3,54.2,20.8,201,4300,1,2008
3,3,51,18.8,203,4100,1,2008
3,3,47.5,16.8,199,3900,2,2008
3,3,47.6,18.3,195,3850,2,2008
3,3,53.5,19.9,205,4500,1,2008
3,3,49,19.5,210,3950,1,2008
3,3,46.2,17.5,187,3650,2,2008
3,3,50.1,17.9,190,3400,2,2009
3,3,49.8,17.3,198,3675,2,2009
3,3,48.1,16.4,199,3325,2,2009
3,3,51.4,19,201,3950,1,2009
3,3,45.7,17.3,193,3600,2,2009
3,3,42.5,17.3,187,3350,2,2009
3,3,45.2,16.6,191,3250,2,2009
3,3,50.2,18.8,202,3800,1,2009
3,3,55.8,19.8,207,4000,1,2009
3,3,43.5,18.1,202,3400,2,2009
3,3,49.6,18.2,193,3775,1,2009
