species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
1,1,39.5,17.4,186,3800,2,2007
1,1,36.7,19.3,193,3450,2,2007
1,1,39.3,20.6,190,3650,1,2007
1,1,38.9,17.8,181,3625,2,2007
1,1,39.2,19.6,195,4675,1,2007
1,1,41.1,17.6,182,3200,2,2007
1,1,34.6,21.1,198,4400,1,2007
1,1,38.7,19,195,3450,2,2007
1,1,34.4,18.4,184,3325,2,2007
1,1,46,21.5,194,4200,1,2007
1,2,37.7,18.7,180,3600,1,2007
1,2,35.9,19.2,189,3800,2,2007
1,2,38.8,17.2,180,3800,1,2007
1,2,35.3,18.9,187,3800,2,2007
1,2,37.9,18.6,172,3150,2,2007
1,2,40.5,18.9,180,3950,1,2007
1,3,39.5,16.7,178,3250,2,2007
1,3,37.2,18.1,178,3900,1,2007
1,3,40.9,18.9,184,3900,1,2007
1,3,36.4,17,195,3325,2,2007
1,3,39.2,21.1,196,4150,1,2007
1,3,38.8,20,190,3950,1,2007
1,3,42.2,18.5,180,3550,2,2007
1,3,37.6,19.3,181,3300,2,2007
1,3,39.8,19.1,184,4650,1,2007
1,3,36.5,18,182,3150,2,2007
1,3,36,18.5,186,3100,2,2007
1,3,39.6,18.8,190,4600,1,2007
1,3,41.1,19,182,3425,1,2007
1,3,42.3,21.2,191,4150,1,2007
1,2,39.6,17.7,186,3500,2,2008
1,2,40.1,18.9,188,4300,1,2008
1,2,42,19.5,200,4050,1,2008
1,2,39,17.5,186,3550,2,2008
1,2,35.7,16.9,185,3150,2,2008
1,2,41.6,18,192,3950,1,2008
1,2,35.5,16.2,195,3350,2,2008
1,2,41.1,19.1,188,4100,1,2008
1,1,35.9,16.6,190,3050,2,2008
1,1,33.5,19,190,3600,2,2008
1,1,45.8,18.9,197,4150,1,2008
1,1,40.9,16.8,191,3700,2,2008
1,1,36.2,16.1,187,3550,2,2008
1,1,42.9,17.6,196,4700,1,2008
1,1,36.7,18.8,187,3800,2,2008
1,3,37.3,17.8,191,3350,2,2008
1,3,41.3,20.3,194,3550,1,2008
1,3,36.3,19.5,190,3800,1,2008
1,3,38.3,19.2,189,3950,1,2008
1,3,41.1,18.1,205,4300,1,2008
1,3,34,17.1,185,3400,2,2008
1,3,39.6,18.1,186,4450,1,2008
1,3,33.1,16.1,178,2900,2,2008
1,2,41,20,203,4725,1,2009
1,2,37.8,20,190,4250,1,2009
1,2,39.7,18.9,184,3550,1,2009
1,2,38.6,17.2,199,3750,2,2009
1,2,38.2,20,190,3900,1,2009
1,2,38.1,16.5,198,3825,2,2009
1,2,42.2,19.5,197,4275,1,2009
1,2,42.7,18.3,196,4075,1,2009
1,1,35.7,17,189,3350,2,2009
1,1,41.1,18.6,189,3325,1,2009
1,1,36.2,17.2,187,3150,2,2009
1,1,40.2,17,176,3450,2,2009
1,1,40.6,19,199,4000,1,2009
1,1,38.5,17.9,190,3325,2,2009
